Sun May  7 23:29:36 2023    output.dat

         23935414 function calls in 6.231 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 15893368    1.666    0.000    1.666    0.000 /home/d1gitalw4rfare/Desktop/root/repo/games_py/eulerian_fluid/fluid.py:61(constrain)
  7946684    3.151    0.000    4.817    0.000 /home/d1gitalw4rfare/Desktop/root/repo/games_py/eulerian_fluid/fluid.py:70(IX)
    95256    0.005    0.000    0.005    0.000 {built-in method math.floor}
       86    0.015    0.000    0.070    0.001 /home/d1gitalw4rfare/Desktop/root/repo/games_py/eulerian_fluid/fluid.py:187(set_bnd)
        5    1.224    0.245    5.619    1.124 /home/d1gitalw4rfare/Desktop/root/repo/games_py/eulerian_fluid/fluid.py:79(lin_solve)
        3    0.000    0.000    3.457    1.152 /home/d1gitalw4rfare/Desktop/root/repo/games_py/eulerian_fluid/fluid.py:54(diffuse)
        3    0.102    0.034    0.309    0.103 /home/d1gitalw4rfare/Desktop/root/repo/games_py/eulerian_fluid/fluid.py:134(advect)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        2    0.068    0.034    2.465    1.232 /home/d1gitalw4rfare/Desktop/root/repo/games_py/eulerian_fluid/fluid.py:100(project)
        1    0.000    0.000    6.231    6.231 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    6.231    6.231 /home/d1gitalw4rfare/Desktop/root/repo/games_py/eulerian_fluid/fluid.py:31(step)
        1    0.000    0.000    6.231    6.231 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


